City,Subdivision,Country
Incheon,Incheon,South Korea
Daegu,Daegu,South Korea
Daejeon,Daejeon,South Korea
Gwangju,Gwangju,South Korea
Ulsan,Ulsan,South Korea
Suwon,Gyeonggi,South Korea
Jakarta,Special Capital Region of Jakarta,Indonesia
Surabaya,East Java,Indonesia
Bandung,West Java,Indonesia
Medan,North Sumatra,Indonesia
Semarang,Central Java,Indonesia
Rabat,Rabat-Salé-Kénitra,Morocco
Algiers,Algiers Province,Algeria
Tunis,Tunis Governorate,Tunisia
Tripoli,Tripoli District,Libya
Tangier,Tanger-Tetouan-Al Hoceima,Morocco
Casablanca,Casablanca-Settat,Morocco
Marrakech,Marrakech-Safi,Morocco
Oran,Oran Province,Algeria
Constantine,Constantine Province,Algeria
Tlemcen,Tlemcen Province,Algeria
Sfax,Sfax Governorate,Tunisia
Sousse,Sousse Governorate,Tunisia
Benghazi,Benghazi District,Libya
Fez,Fès-Meknès,Morocco
Tehran,Tehran,Iran
Mashhad,Razavi Khorasan,Iran
Isfahan,Isfahan,Iran
Tabriz,East Azerbaijan,Iran
Shiraz,Fars,Iran
Ahvaz,Khuzestan,Iran
Qom,Qom,Iran
Kerman,Kerman,Iran
Hamedan,Hamadan,Iran
Karaj,Alborz,Iran
Kermanshah,Kermanshah,Iran
Yazd,Yazd,Iran
Beirut,Beirut Governorate,Lebanon
Damascus,Rif Dimashq,Syria
Amman,Amman Governorate,Jordan
Ramallah,West Bank,State of Palestine
Aleppo,Aleppo Governorate,Syria
Homs,Homs Governorate,Syria
Latakia,Latakia Governorate,Syria
Gaza City,Gaza Strip,State of Palestine
Jerusalem,Jerusalem District,Israel
Tel Aviv,Tel Aviv District,Israel
Haifa,Haifa District,Israel
Rishon LeZion,Central District,Israel
Petah Tikva,Central District,Israel
Ashdod,Southern District,Israel
Ganja,Ganja,Azerbaijan
Batumi,Adjara,Georgia
Kutaisi,Imereti,Georgia
Bangkok,Bangkok,Thailand
Vientiane,Vientiane Prefecture,Laos
Phnom Penh,Phnom Penh,Cambodia
Hanoi,Hanoi,Vietnam
Manila,Metro Manila,Philippines
Naypyidaw,Naypyidaw Union Territory,Myanmar
Bandar Seri Begawan,Brunei-Muara,Brunei
Phuket,Phuket,Thailand
Papeete,French Polynesia,France
Port Moresby,National Capital District,Papua New Guinea
Dili,Dili,East Timor
Wellington,Wellington,New Zealand
Auckland,Auckland,New Zealand
Christchurch,Canterbury,New Zealand
Tauranga,Bay of Plenty,New Zealand
Dunedin,Otago,New Zealand
Palmerston North,Manawatu-Wanganui,New Zealand
Napier,Hawke's Bay,New Zealand
Hastings,Hawke's Bay,New Zealand
Nelson,Nelson,New Zealand
Rotorua,Bay of Plenty,New Zealand
New Plymouth,Taranaki,New Zealand
Canberra,Australian Capital Territory,Australia
Sydney,New South Wales,Australia
Melbourne,Victoria,Australia
Brisbane,Queensland,Australia
Perth,Western Australia,Australia
Adelaide,South Australia,Australia
Gold Coast,Queensland,Australia
Newcastle,New South Wales,Australia
Hobart,Tasmania,Australia
Darwin,Northern Territory,Australia
Cairns,Queensland,Australia
Townsville,Queensland,Australia
Alice Springs,Northern Territory,Australia
Nuku'alofa,Tongatapu,Tonga
Apia,Tuamasaga,Samoa
Havana,La Habana,Cuba
Nassau,New Providence,The Bahamas
Port-au-Prince,Ouest,Haiti
Kingston,Kingston,Jamaica
Santo Domingo,Nacional,Dominican Republic
Bridgetown,Saint Michael,Barbados
Saint John's,Saint John,Antigua and Barbuda
Basseterre,Saint George Basseterre,Saint Kitts and Nevis
Castries,Castries,Saint Lucia
Kingstown,Saint George,Saint Vincent and the Grenadines
Roseau,Saint George,Dominica
St. George's,Saint George,Grenada
Port of Spain,Diego Martin,Trinidad and Tobago
Santiago de Cuba,Santiago de Cuba,Cuba
Holguín,Holguín,Cuba
Camagüey,Camagüey,Cuba
Montgomery,Alabama,United States
Juneau,Alaska,United States
Phoenix,Arizona,United States
Little Rock,Arkansas,United States
Sacramento,California,United States
Denver,Colorado,United States
Hartford,Connecticut,United States
Dover,Delaware,United States
Tallahassee,Florida,United States
Atlanta,Georgia,United States
Honolulu,Hawaii,United States
Boise,Idaho,United States
Springfield,Illinois,United States
Indianapolis,Indiana,United States
Des Moines,Iowa,United States
Topeka,Kansas,United States
Frankfort,Kentucky,United States
Baton Rouge,Louisiana,United States
Augusta,Maine,United States
Annapolis,Maryland,United States
Boston,Massachusetts,United States
Lansing,Michigan,United States
St. Paul,Minnesota,United States
Jackson,Mississippi,United States
Jefferson City,Missouri,United States
Helena,Montana,United States
Lincoln,Nebraska,United States
Carson City,Nevada,United States
Concord,New Hampshire,United States
Trenton,New Jersey,United States
Santa Fe,New Mexico,United States
Albany,New York,United States
Raleigh,North Carolina,United States
Bismarck,North Dakota,United States
Columbus,Ohio,United States
Oklahoma City,Oklahoma,United States
Salem,Oregon,United States
Harrisburg,Pennsylvania,United States
Providence,Rhode Island,United States
Columbia,South Carolina,United States
Pierre,South Dakota,United States
Nashville,Tennessee,United States
Austin,Texas,United States
Gary,Indiana,United States
Salt Lake City,Utah,United States
Montpelier,Vermont,United States
Richmond,Virginia,United States
Olympia,Washington,United States
Charleston,West Virginia,United States
Madison,Wisconsin,United States
Cheyenne,Wyoming,United States
Anchorage,Alaska,United States
Los Angeles,California,United States
San Francisco,California,United States
San Diego,California,United States
San Antonio,Texas,United States
Dallas,Texas,United States
Houston,Texas,United States
Chicago,Illinois,United States
New York City,New York,United States
Philadelphia,Pennsylvania,United States
Tucson,Arizona,United States
Fayetteville,Arkansas,United States
Colorado Springs,Colorado,United States
Bridgeport,Connecticut,United States
Wilmington,Delaware,United States
Jacksonville,Florida,United States
Miami,Florida,United States
Orlando,Florida,United States
Tampa,Florida,United States
Savannah,Georgia,United States
Idaho Falls,Idaho,United States
Aurora,Illinois,United States
Fort Wayne,Indiana,United States
Cedar Rapids,Iowa,United States
Wichita,Kansas,United States
Overland Park,Kansas,United States
Louisville,Kentucky,United States
Lexington,Kentucky,United States
New Orleans,Louisiana,United States
Lewiston,Maine,United States
Baltimore,Maryland,United States
Worcester,Massachusetts,United States
Grand Rapids,Michigan,United States
Duluth,Minnesota,United States
Gulfport,Mississippi,United States
Kansas City,Missouri,United States
St. Louis,Missouri,United States
Billings,Montana,United States
Omaha,Nebraska,United States
Las Vegas,Nevada,United States
Reno,Nevada,United States
Nashua,New Hampshire,United States
Newark,New Jersey,United States
Jersey City,New Jersey,United States
Albuquerque,New Mexico,United States
Las Cruces,New Mexico,United States
Buffalo,New York,United States
Cleveland,Ohio,United States
Tulsa,Oklahoma,United States
Portland,Oregon,United States
Eugene,Oregon,United States
Pittsburgh,Pennsylvania,United States
Warwick,Rhode Island,United States
Sioux Falls,South Dakota,United States
Rapid City,South Dakota,United States
Memphis,Tennessee,United States
Fort Worth,Texas,United States
West Valley City,Utah,United States
Burlington,Vermont,United States
South Burlington,Vermont,United States
Virginia Beach,Virginia,United States
Norfolk,Virginia,United States
Seattle,Washington,United States
Spokane,Washington,United States
Huntington,West Virginia,United States
Milwaukee,Wisconsin,United States
Casper,Wyoming,United States
Kabul,Kabul Province,Afghanistan
Tirana (Tirane),,Albania
Andorra la Vella,,Andorra
Luanda,,Angola
Manama,,Bahrain
Porto Novo,,Benin
La Paz,,Bolivia
Gaborone,,Botswana
Brasilia,,Brazil
Ouagadougou,,Burkina Faso
Gitega,,Burundi
Yaounde,,Cameroon
Praia,,Cape Verde
Bangui,,Central African Republic
N'Djamena,,Chad
Bogota,,Colombia
Moroni,,Comoros
Kinshasa,,Democratic Republic of the Congo
Brazzaville,,Republic of the Congo
Yamoussoukro,,Côte d'Ivoire
Alexandria,,Egypt
Cairo,,Egypt
Malabo,,Equatorial Guinea
Asmara,,Eritrea
Mbabana,,Eswatini (Swaziland)
Addis Ababa,,Ethiopia
Palikir,,Federated States of Micronesia
Suva,,Fiji
Libreville,,Gabon
Banjul,,Gambia
Accra,,Ghana
Saint George's,,Grenada
Conakry,,Guinea
Bissau,,Guinea-Bissau
Port au Prince,,Haiti
Reykjavik,,Iceland
Baghdad,,Iraq
Astana,,Kazakhstan
Nairobi,,Kenya
Tarawa Atoll,,Kiribati
Kuwait City,,Kuwait
Maseru,,Lesotho
Monrovia,,Liberia
Vaduz,,Liechtenstein
Antananarivo,,Madagascar
Lilongwe,,Malawi
Male,,Maldives
Bamako,,Mali
Majuro,,Marshall Islands
Nouakchott,,Mauritania
Port Louis,,Mauritius
Mexico City,,Mexico
Monaco,,Monaco
Maputo,,Mozambique
Nay Pyi Taw,,Myanmar (Burma)
Windhoek,,Namibia
Niamey,,Niger
Abuja,,Nigeria
Pyongyang,,North Korea
Belfast,,Northern Ireland
Muscat,,Oman
Melekeok,,Palau
Asuncion,,Paraguay
Doha,,Qatar
Kigali,,Rwanda
San Marino,,San Marino
Sao Tome and Principe,,Sao Tome
Riyadh,,Saudi Arabia
Edinburgh,,Scotland
Dakar,,Senegal
Freetown,,Sierra Leone
Honiara,,Solomon Islands
Mogadishu,,Somalia
Pretoria,,South Africa
Bloemfontein,,South Africa
Juba,,South Sudan
Sri Jayawardenapura Kotte,,Sri Lanka
Khartoum,,Sudan
Bern,,Switzerland
Dodoma,,Tanzania
Lome,,Togo
Funafuti,,Tuvalu
Kampala,,Uganda
Abu Dhabi,,United Arab Emirates
Washington D.C.,,United States
Port Vila,,Vanuatu
Cardiff,,Wales
Sana'a,,Yemen
Lusaka,,Zambia
Harare,,Zimbabwe
Novosibirsk,Novosibirsk Oblast,Russia
Yekaterinburg,Sverdlovsk Oblast,Russia
Omsk,Omsk Oblast,Russia
Chelyabinsk,Chelyabinsk Oblast,Russia
Krasnoyarsk,Krasnoyarsk Krai,Russia
Irkutsk,Irkutsk Oblast,Russia
Ulan-Ude,Republic of Buryatia,Russia
Yakutsk,Sakha Republic (Yakutia),Russia
Vladivostok,Primorsky Krai,Russia
Khabarovsk,Khabarovsk Krai,Russia
Blagoveshchensk,Amur Oblast,Russia
Chita,Zabaykalsky Krai,Russia
Magadan,Magadan Oblast,Russia
Petropavlovsk-Kamchatsky,Kamchatka Krai,Russia
